,units_min,units_max,course_number,course_name,course_subject,instructor,quarters
107,3,3,227B,General Game Playing,CS,"Genesereth, M.",['Spring']
108,3,4,228,Probabilistic Graphical Models: Principles and Techniques,CS,"Ermon, S.",['Winter']
109,3,4,229,Machine Learning (STATS 229),CS,"Charikar, M.","['Spring', 'Autumn', 'Summer']"
110,3,3,229M,Machine Learning Theory (STATS 214),CS,"Ma, T.",['Autumn']
111,3,4,230,Deep Learning,CS,"Ng, A.","['Spring', 'Autumn']"
112,3,4,231A,Computer Vision: From 3D Reconstruction to Recognition,CS,"Savarese, S.",['Winter']
113,3,4,231N,Deep Learning for Computer Vision,CS,"Li, F.",['Spring']
114,3,3,233,Geometric and Topological Data Analysis (CME 251),CS,"Guibas, L.",['Spring']
115,3,3,234,Reinforcement Learning,CS,"Brunskill, E.",['Winter']
116,3,4,235,"Computational Methods for Biomedical Image Analysis and Interpretation (BIOMEDIN 260, RAD 260)",CS,"Rubin, D.",['Spring']
117,3,3,236,Deep Generative Models,CS,"Ermon, S.",['Autumn']
118,3,3,236G,Generative Adversarial Networks,CS,"Zhou, S.",['Winter']
119,3,4,237A,"Principles of Robot Autonomy I (AA 174A, AA 274A, EE 160A, EE 260A)",CS,"Schmerling, E.",['Autumn']
120,3,4,237B,"Principles of Robot Autonomy II (AA 174B, AA 274B, EE 260B)",CS,"Sadigh, D.",['Winter']
121,3,4,238,Decision Making under Uncertainty (AA 228),CS,"Kochenderfer, M.",['Autumn']
122,3,4,239,Advanced Topics in Sequential Decision Making (AA 229),CS,"Kochenderfer, M.",['Winter']
123,3,3,240,Advanced Topics in Operating Systems,CS,"Engler, D.",['Spring']
124,3,3,240LX,"Advanced Systems Laboratory, Accelerated",CS,"Engler, D.",['Spring']
125,3,3,241,Embedded Systems Workshop (EE 285),CS,"Levis, P.","['Spring', 'Autumn']"
126,3,4,242,Programming Languages,CS,"Aiken, A.",['Autumn']
127,3,4,243,Program Analysis and Optimizations,CS,"Maydan, D.",['Spring']
128,3,4,244,Advanced Topics in Networking,CS,"Kim, C.",['Spring']
129,3,3,244B,Distributed Systems,CS,"Mazieres, D.",['Spring']
130,3,4,245,Principles of Data-Intensive Systems,CS,"Zaharia, M.",['Winter']
131,3,4,246,Mining Massive Data Sets,CS,"Leskovec, J.",['Winter']
132,3,4,247A,Design for Artificial Intelligence (SYMSYS 195A),CS,"Stanford, J.",['Spring']
